return-average,epoch
2114.2886677776,446
1564.4114254377,447
275.1513499456,448
1873.7699704653,449
1684.270046408,450
1503.8828812256,451
854.6303190195,452
1234.8536591619,453
2121.5570216628,454
3386.3122305081,455
935.3621111814,456
77.125339913,457
771.9290837918,458
2287.5792026854,459
1292.1756888058,460
1029.5045169119,461
755.1231535571,462
1733.133999361,463
616.5041311687,464
477.8799795296,465
1384.3227139674,466
76.1901322214,467
1559.8117177442,468
2186.0570851886,469
712.7281837216,470
1798.5227922005,471
1278.6123801986,472
2088.5164428483,473
1630.245768324,474
315.1206475693,475
68.4574677969,476
2199.4302324453,477
3236.6458610271,478
1004.4114819218,479
802.3149394802,480
2651.5990344867,481
3184.5728919815,482
503.7559789243,483
2878.8294371204,484
2310.1911536786,485
945.0593705138,486
586.0070329588,487
1209.3005930122,488
2384.0685385274,489
1434.8670973988,490
949.7513191254,491
980.1410681076,492
2226.1579005191,493
344.3564748825,494
2625.6742932788,495
1440.2801140709,496
949.1903006379,497
1453.4157386313,498
622.3090086377,499
107.8243352943,500
1390.8061644169,501
3021.4626037344,502
770.7910762582,503
446.7284498052,504
907.3476732666,505
1851.5459219165,506
2764.1585358402,507
1359.7681896464,508
268.9984741252,509
1325.8868571919,510
2313.5690194815,511
50.7199581502,512
2796.5785570833,513
1407.874438558,514
722.7898146697,515
2511.9628338442,516
1278.6625897545,517
849.1848957341,518
2250.7431297914,519
1529.0260171738,520
2193.6355977258,521
2273.3647968297,522
2268.2545859999,523
2442.9093395816,524
3132.466610867,525
1343.668965902,526
2039.7630582135,527
1379.3693216477,528
2514.7015979088,529
2507.5766450283,530
2448.1350460803,531
2638.9071468193,532
1599.9451300679,533
2383.779769575,534
1340.2219153981,535
2595.6385098156,536
788.6176647638,537
1054.1024793862,538
161.1833981938,539
1362.1769989099,540
2101.2730462513,541
2136.1836218534,542
2181.8587716515,543
1587.734871036,544
762.8054284408,545
1997.7512935051,546
1977.4021893639,547
2599.3962583618,548
2850.7694786046,549
2792.4666057126,550
154.6325319554,551
1402.4617881019,552
3239.2768783105,553
3322.5751423055,554
1628.3982886077,555
3051.2337691416,556
577.3164215137,557
626.8612948933,558
2371.0307622347,559
2368.0189808355,560
2596.2340684664,561
723.9892463627,562
1519.7066552825,563
1455.3661360632,564
1668.3464861583,565
149.4840613765,566
3048.530067487,567
206.4726364667,568
2541.0305764637,569
3193.572784297,570
265.223945461,571
131.2655583986,572
2866.5132087605,573
958.0199885693,574
1456.6177085369,575
1422.5279520687,576
2757.4665168691,577
2390.1034034524,578
3132.7511461086,579
1617.0754023818,580
122.1663045017,581
1183.2077522599,582
1629.5220366782,583
2688.9806847148,584
585.6326240635,585
231.6768876113,586
568.4969569527,587
657.0161958775,588
957.1942498597,589
816.6082551426,590
125.3480543815,591
381.6285695737,592
668.1847523366,593
1385.2647623635,594
106.3941456396,595
1058.3081312537,596
2462.7109171802,597
648.6048311424,598
1385.4158486398,599
398.0350843279,600
2743.0209462408,601
3431.1878916065,602
2564.8154411979,603
525.3515078096,604
3056.9217841884,605
855.773430811,606
735.2388256223,607
1299.3064011343,608
2610.0112617987,609
2777.9763207521,610
482.3745867122,611
1091.026212994,612
176.9763652371,613
3473.615053057,614
659.6249583971,615
536.6816922018,616
3319.7319715966,617
3330.3030654419,618
2717.6759483009,619
301.3736338523,620
1579.0057661678,621
2328.9734317717,622
1035.3322838199,623
2748.188544671,624
1557.8852603855,625
1113.3265001862,626
2209.9990279361,627
