return-average,epoch
1565.7998620196,733
1226.1014018018,734
1176.0680605033,735
1433.9463977358,736
919.3639342138,737
1291.4814488866,738
534.6111130322,739
2444.7800873555,740
490.7427974831,741
1938.7574073896,742
170.228218646,743
2830.6154186218,744
2888.6517548926,745
1726.6758186104,746
198.9063268047,747
1629.8209243421,748
950.5936176577,749
1940.3950805699,750
1619.7314344614,751
1086.0228721363,752
132.3814655378,753
1757.2486022789,754
869.3807788487,755
2244.0532290247,756
2249.4667378651,757
825.8906719508,758
2362.0355884335,759
1545.3259987676,760
2189.8617086927,761
1236.1525935152,762
1928.1891060127,763
1838.0672792686,764
2398.374014574,765
203.5114751477,766
1721.3790522651,767
2273.4861798796,768
2410.1553882037,769
1744.0944776963,770
368.669896107,771
2407.1397563371,772
1112.6243860377,773
2116.5378030252,774
1414.0597443647,775
1183.639496113,776
2942.7197710321,777
2415.5623014979,778
741.2059130078,779
199.9039828854,780
1449.1753949704,781
2298.2495876421,782
1573.9673681993,783
721.9600920196,784
1085.1819626432,785
1878.0405148583,786
2657.8865346979,787
1755.67475363,788
1183.5755351913,789
2072.1311393865,790
3466.0852085576,791
1708.4696316488,792
546.2353123114,793
1339.4133929206,794
431.8047230344,795
1369.0474620043,796
1976.6907738609,797
264.3055982107,798
902.1358943565,799
720.6327460931,800
90.9314460884,801
1517.4707710279,802
1602.0854364707,803
3003.7461084302,804
1765.0946537836,805
2217.9739516959,806
883.5270018007,807
904.5347683229,808
1036.6515230936,809
3013.9782202979,810
1245.6450799066,811
1914.146897527,812
970.2816470916,813
2262.9885482444,814
2008.5516537636,815
857.4295321151,816
2198.1955085491,817
2422.7162188572,818
2569.0666798994,819
1361.1767131124,820
1661.3962373522,821
2201.7094917245,822
1307.3217620545,823
1481.8498017129,824
247.9862474829,825
533.8381441236,826
794.5121687847,827
1376.2182980671,828
1035.2739200718,829
1063.5757206481,830
2379.6259347084,831
277.6144204135,832
758.4852736523,833
1278.9731429773,834
1401.1512541177,835
135.5024068104,836
2043.1245535634,837
38.8442091359,838
777.2865180775,839
2929.8165855517,840
2345.7759698578,841
3282.6397757971,842
1880.5761580004,843
3112.2473306334,844
2666.4823737,845
700.7443403267,846
686.8064281816,847
2470.289519059,848
2352.2233463908,849
112.2407507959,850
2421.8451670379,851
599.2399233809,852
241.0533601244,853
2957.2107570165,854
852.466620289,855
2969.2674319249,856
1276.3791453505,857
1949.4611503389,858
3476.0855707783,859
162.1898240396,860
1503.0909848741,861
1121.7432756604,862
779.9601255784,863
2305.1892912299,864
173.844168281,865
2608.920141074,866
1026.9062052744,867
1416.4983336334,868
281.5988550008,869
2669.3743736542,870
1418.3383297521,871
422.5257426598,872
2339.4870040259,873
1282.3426878898,874
2418.2666138255,875
182.1053393215,876
1652.9716947659,877
1867.8445090751,878
1494.8370441187,879
737.8621899191,880
367.6931859208,881
2657.4196850327,882
54.0376965204,883
1095.6423039171,884
843.4513222598,885
636.5885767473,886
2566.2471426023,887
1027.1814243577,888
2266.0605968272,889
2777.6385766828,890
1014.8407480538,891
656.4369644717,892
2676.7353973957,893
1365.1656567701,894
2347.7269242507,895
51.1641727623,896
2175.1911719871,897
199.1183696729,898
2151.9270826963,899
1932.4981509686,900
2120.7333642656,901
792.110911899,902
704.3959882893,903
885.5409073511,904
2081.3312246825,905
1451.7535557027,906
2585.5988289805,907
1074.4322276375,908
64.3538920764,909
1247.1951579509,910
649.8509591017,911
235.6437814756,912
2678.6757580578,913
321.7273212773,914
2288.2237198515,915
2687.965470948,916
1218.5623360958,917
2247.7841875258,918
575.4231293673,919
901.8671160999,920
1656.1662035475,921
177.9175397775,922
1043.824846205,923
152.7779130876,924
555.2909577541,925
1770.1986683531,926
1851.5602645865,927
46.7579116026,928
1202.4463830277,929
1468.3883584882,930
866.799125239,931
1531.9153443332,932
1248.7513847927,933
2097.7155451678,934
1100.8661590752,935
606.9146119081,936
1832.3831190669,937
164.3402012261,938
2009.0211569883,939
2075.2105079617,940
1190.5864023197,941
2856.7574660322,942
612.6725361614,943
1674.6603425927,944
352.7399338811,945
283.0142794773,946
2782.0821019862,947
1704.5789792245,948
1830.0379827282,949
1902.94371293,950
1954.0565188435,951
2419.5884398136,952
83.3628767293,953
2093.8031255326,954
480.6090077264,955
280.5765166503,956
1669.6197379401,957
2271.23406723,958
167.9360655386,959
376.8377210345,960
2658.9198608973,961
164.6517080336,962
2305.4552402125,963
2524.9989688513,964
3117.0372149942,965
2098.5868681763,966
588.3310506107,967
2128.136371743,968
286.6907613072,969
541.6181255659,970
1109.0295623621,971
166.4699006461,972
2726.8743022639,973
737.2530262663,974
215.383209507,975
2534.3767962759,976
1485.8564939243,977
1985.8696249727,978
1910.753558865,979
2175.2313792686,980
1947.114723798,981
2926.093031016,982
301.5856854608,983
380.9511212334,984
58.4861863521,985
2582.2193372342,986
3181.3928502792,987
2569.6861632165,988
507.9110815969,989
457.0738517541,990
1811.3588638769,991
449.1923702756,992
3329.8595130968,993
349.0711093694,994
2280.328471095,995
1282.8943305316,996
1164.8146444084,997
1195.9964462922,998
469.3713573855,999
2990.3150739515,1000
1525.5216758672,1001
2460.0603623612,1002
2068.1541208754,1003
2306.1667862354,1004
286.7566181733,1005
1245.6190557053,1006
3201.3280392009,1007
1459.6277684135,1008
121.8259229646,1009
488.0776016696,1010
701.4674762716,1011
2032.719147837,1012
966.4717729457,1013
1283.8735812816,1014
2162.1822403089,1015
2957.1979222837,1016
2489.1035786456,1017
2276.4273066289,1018
156.4008952038,1019
410.8508053449,1020
67.8745214629,1021
3274.1042956126,1022
879.5352966999,1023
2338.6325905479,1024
165.5865684826,1025
3110.5161914071,1026
884.2177407913,1027
1581.9538249678,1028
1450.9062750091,1029
351.3609101674,1030
2767.4266042546,1031
1446.9410651812,1032
2792.9226049433,1033
1248.814443344,1034
970.261891787,1035
232.909685247,1036
1680.9620220026,1037
2049.96439684,1038
3328.2789507464,1039
452.4191665201,1040
91.2566876248,1041
185.7648331726,1042
1965.1689941672,1043
2416.422617617,1044
1799.556920498,1045
745.4920032958,1046
1242.49429351,1047
2159.9489112946,1048
2765.3875068758,1049
1714.6245332004,1050
160.7796126446,1051
1573.6698398712,1052
603.6045674028,1053
605.9757815751,1054
2672.3067330887,1055
3353.5228319918,1056
2712.8590698645,1057
1893.0325838962,1058
230.1788129935,1059
1657.3699883689,1060
499.3622739884,1061
1012.0528513268,1062
267.4713970333,1063
603.9170107516,1064
338.3594134104,1065
909.2780316354,1066
901.5729661357,1067
3028.4448192684,1068
2215.9183452643,1069
1561.9594943281,1070
1817.7578473213,1071
800.7418216324,1072
3421.9232889533,1073
1048.703900928,1074
644.388253051,1075
2605.0577853027,1076
2646.258540069,1077
271.6881084447,1078
474.060335879,1079
1692.0631898796,1080
957.884351401,1081
1270.9657695751,1082
749.7830282533,1083
1461.3706077564,1084
923.7033338249,1085
1462.9414384812,1086
1266.9487424577,1087
1025.6083164476,1088
1241.4871090991,1089
234.3529533566,1090
1921.1623756423,1091
2185.4356115394,1092
1878.102420768,1093
1708.889898524,1094
935.9558946155,1095
1304.1593872028,1096
1530.9659285894,1097
2025.8980866608,1098
2513.8962525031,1099
2202.1931480795,1100
2438.3670722294,1101
125.383424279,1102
1038.7133766261,1103
1262.7942129016,1104
971.1388512303,1105
269.361600265,1106
1560.2287046462,1107
1209.7111187522,1108
3079.5846919787,1109
181.4096141503,1110
1620.822974338,1111
2275.5976072883,1112
3148.4691255193,1113
1690.410504576,1114
256.769974857,1115
1681.8241411407,1116
2832.6140529496,1117
2100.2700440646,1118
2911.9813876363,1119
201.2088295979,1120
3307.4670457058,1121
709.6621676261,1122
1250.3545493595,1123
2012.1726073801,1124
2147.8797028289,1125
945.5615659429,1126
1511.7136702108,1127
1266.2331294666,1128
971.9044670132,1129
214.4193540238,1130
3040.0979290717,1131
332.0828674911,1132
2530.9856648364,1133
3508.113385358,1134
2453.8448472325,1135
192.0794643722,1136
3283.2037505464,1137
1543.45326613,1138
520.7410545175,1139
3603.8424298998,1140
3414.0402560982,1141
1927.9786727172,1142
607.6930868409,1143
554.2032763346,1144
3613.7580635996,1145
1688.3268541769,1146
43.6762660111,1147
198.9889372914,1148
2066.3361970662,1149
338.5916002649,1150
733.2202944223,1151
2349.7944963002,1152
964.0328284482,1153
1368.3317391662,1154
2029.0841476733,1155
2152.6982386421,1156
572.7177416231,1157
2883.4590962994,1158
3949.5690180375,1159
2575.4279453535,1160
3058.1133043654,1161
480.1626402882,1162
2883.054967871,1163
3111.2682713545,1164
3072.8043911055,1165
238.1947615917,1166
1999.8794039838,1167
3304.6314722988,1168
3217.1662763861,1169
3234.0643195937,1170
664.7587353764,1171
148.6899810891,1172
2384.2079486535,1173
1979.9211673038,1174
305.5146155085,1175
2261.2144756309,1176
2690.2652700322,1177
941.1059713189,1178
2085.737512352,1179
1817.2997658059,1180
3226.8299409499,1181
673.3670772911,1182
496.6679362172,1183
427.8556369668,1184
1407.2186532833,1185
1938.2351764254,1186
1773.039346564,1187
1768.0665623796,1188
1550.0511142489,1189
549.363033159,1190
280.3189837841,1191
2672.3613173554,1192
1498.2839722775,1193
970.0305549048,1194
178.419370349,1195
1103.4571635798,1196
535.4685526268,1197
408.747161142,1198
382.6575540883,1199
1350.2574131477,1200
3076.1707719986,1201
1813.1389765887,1202
2969.4373025374,1203
3530.7073719546,1204
978.8898300426,1205
3298.7689191783,1206
1900.682530902,1207
472.066595721,1208
3081.1125544808,1209
3337.3195280333,1210
770.3743910504,1211
3690.0786968779,1212
405.431314139,1213
1011.3238307233,1214
3243.2615504669,1215
422.6523989573,1216
130.7493444611,1217
2021.346768917,1218
2445.0258530397,1219
1265.7964427851,1220
1303.4422741684,1221
2110.5930770992,1222
1185.7095724446,1223
648.337721845,1224
67.199069523,1225
3281.6411483647,1226
1223.3425397101,1227
141.0978785333,1228
871.6446152635,1229
1267.1341277363,1230
1773.0793464037,1231
2434.2040957707,1232
1520.5819038643,1233
2845.4430051613,1234
1846.4445487136,1235
3332.7638632013,1236
2082.5044430267,1237
1293.2998776714,1238
1947.4761266382,1239
1563.7304387068,1240
3013.9938109208,1241
525.3436818109,1242
2173.0258701931,1243
1725.4995389323,1244
3110.7903636966,1245
3064.5853868756,1246
3324.8304969545,1247
3459.856216582,1248
3249.8068022256,1249
200.10336106,1250
641.9453076462,1251
2346.7055358485,1252
823.8527295114,1253
2463.5216249091,1254
544.4795779893,1255
468.7928797673,1256
492.1754119038,1257
2092.2884760101,1258
3107.2102126511,1259
1631.8843379842,1260
200.2844520986,1261
3058.368037871,1262
1891.1315726236,1263
1730.9127517082,1264
3067.3412474967,1265
1952.3328714563,1266
3091.5094628328,1267
3104.7096327543,1268
170.6063825715,1269
1523.7182900528,1270
2863.6462928811,1271
2245.0539292714,1272
2016.4765475852,1273
3200.3158201978,1274
160.8029356791,1275
699.3794255474,1276
1701.3536896958,1277
1798.9668505719,1278
1620.2095495745,1279
1258.169720242,1280
716.9408630273,1281
973.3158941448,1282
1670.8999493675,1283
967.5227263371,1284
875.0007143293,1285
